1. Decision Tree:

mean	4.189445
std	0.742648
min	3.091116
25%	3.778410
50%	4.214860
75%	4.489350
max	5.336346

2. Linear Regression:

mean	5.030437
std	1.118146
min	3.828819
25%	4.227625
50%	4.742861
75%	5.446931
max	7.473848

3. Random Forest Regressor:

mean	3.304412
std	0.692030
min	2.612202
25%	2.745369
50%	3.298531
75%	3.350313
max	4.587798
